t0;prepTimeComp;MINcomp;Capacity;prepSignal;Message
0;0;0;1;0;Обработка в ЭВМ
10;0;2;0;0;Обработка в канале
10;0;2;1;0;Обработка в ЭВМ
20;0;2;1;0;Прием сигнала
20;0;1;0;0;Обработка в канале
20;0;1;1;0;Обработка в ЭВМ
30;0;1;1;0;Прием сигнала
30;0;0;1;0;Обработка в канале
30;0;0;2;0;Обработка в ЭВМ
40;0;0;2;0;Прием сигнала
40;0;2;1;0;Обработка в канале
40;40;2;0;1;Обработка в ЭВМ
50;40;2;0;1;Прием сигнала
50;40;2;1;1;Обработка в ЭВМ
60;40;0;2;1;Обработка в канале
60;40;0;3;1;Обработка в ЭВМ
70;40;0;3;1;Прием сигнала
70;40;2;1;1;Обработка в канале
70;40;2;2;1;Обработка в ЭВМ
80;40;2;2;1;Прием сигнала
80;80;2;1;2;Обработка в ЭВМ
90;80;2;1;2;Прием сигнала
90;80;0;3;2;Обработка в канале
90;80;0;4;2;Обработка в ЭВМ
100;80;2;1;2;Обработка в канале
100;80;2;2;2;Обработка в ЭВМ
110;80;2;2;2;Прием сигнала
110;110;2;1;3;Обработка в ЭВМ
120;110;2;1;3;Прием сигнала
120;110;0;4;3;Обработка в канале
120;110;0;4;3;Обработка в ЭВМ
130;110;0;4;3;Прием сигнала
130;110;2;1;3;Обработка в канале
130;110;2;2;3;Обработка в ЭВМ
140;110;2;2;3;Прием сигнала
140;110;1;1;3;Обработка в канале
140;110;1;2;3;Обработка в ЭВМ
150;110;0;4;3;Обработка в канале
150;150;0;3;4;Обработка в ЭВМ
160;150;0;3;4;Прием сигнала
160;150;2;2;4;Обработка в канале
160;150;2;3;4;Обработка в ЭВМ
170;150;1;2;4;Обработка в канале
170;150;1;3;4;Обработка в ЭВМ
180;150;1;3;4;Прием сигнала
180;150;1;4;4;Обработка в ЭВМ
190;150;2;3;4;Обработка в канале
190;190;2;2;5;Обработка в ЭВМ
200;190;2;2;5;Прием сигнала
200;190;0;3;5;Обработка в канале
200;190;0;4;5;Обработка в ЭВМ
210;190;0;4;5;Прием сигнала
210;190;2;2;5;Обработка в канале
210;190;2;3;5;Обработка в ЭВМ
220;190;2;3;5;Прием сигнала
220;190;0;4;5;Обработка в канале
220;190;0;4;5;Обработка в ЭВМ
230;190;0;4;5;Прием сигнала
230;230;0;3;6;Обработка в ЭВМ
240;230;0;3;6;Обработка в канале
240;230;0;4;6;Обработка в ЭВМ
250;230;0;4;6;Прием сигнала
250;230;2;3;6;Обработка в канале
250;230;2;4;6;Обработка в ЭВМ
260;230;0;4;6;Обработка в канале
260;230;0;4;6;Обработка в ЭВМ
270;230;0;4;6;Обработка в канале
270;270;0;3;7;Обработка в ЭВМ
280;270;0;3;7;Прием сигнала
280;270;0;4;7;Обработка в ЭВМ
290;270;0;4;7;Прием сигнала
290;270;0;4;7;Обработка в канале
290;270;0;4;7;Обработка в ЭВМ
300;270;0;4;7;Обработка в ЭВМ
310;270;0;4;7;Прием сигнала
310;270;0;4;7;Обработка в канале
310;310;0;3;8;Обработка в ЭВМ
320;310;0;3;8;Прием сигнала
320;310;0;4;8;Обработка в ЭВМ
330;310;0;4;8;Обработка в канале
330;310;0;4;8;Обработка в ЭВМ
340;310;0;4;8;Прием сигнала
340;310;0;4;8;Обработка в канале
340;310;0;4;8;Обработка в ЭВМ
350;310;0;4;8;Прием сигнала
350;350;0;3;9;Обработка в ЭВМ
360;350;0;3;9;Обработка в канале
360;350;0;4;9;Обработка в ЭВМ
370;350;0;4;9;Прием сигнала
370;350;0;4;9;Обработка в канале
370;350;0;4;9;Обработка в ЭВМ
380;350;0;4;9;Обработка в ЭВМ
390;350;0;4;9;Обработка в канале
390;390;0;3;10;Обработка в ЭВМ
400;390;0;3;10;Прием сигнала
400;390;0;3;10;Обработка в канале
400;390;0;4;10;Обработка в ЭВМ
410;390;0;4;10;Обработка в канале
410;390;0;4;10;Обработка в ЭВМ
420;390;0;4;10;Прием сигнала
420;390;0;4;10;Обработка в канале
420;390;0;4;10;Обработка в ЭВМ
