t0;prepTimeComp;MINcomp;Capacity;prepSignal;Message
0;0;0;1;0;Обработка в ЭВМ
10;0;0;1;0;Прием сигнала
10;0;2;0;0;Обработка в канале
10;0;2;1;0;Обработка в ЭВМ
20;0;1;0;0;Обработка в канале
20;0;1;1;0;Обработка в ЭВМ
30;0;1;1;0;Прием сигнала
30;0;1;2;0;Обработка в ЭВМ
40;0;1;2;0;Прием сигнала
40;0;2;1;0;Обработка в канале
40;40;2;0;1;Обработка в ЭВМ
50;40;2;1;1;Обработка в ЭВМ
60;40;2;1;1;Прием сигнала
60;40;0;1;1;Обработка в канале
60;40;0;2;1;Обработка в ЭВМ
70;40;0;3;1;Обработка в ЭВМ
80;40;0;3;1;Прием сигнала
80;40;2;1;1;Обработка в канале
80;80;2;0;2;Обработка в ЭВМ
90;80;2;0;2;Прием сигнала
90;80;0;3;2;Обработка в канале
90;80;0;4;2;Обработка в ЭВМ
100;80;0;4;2;Прием сигнала
100;80;0;4;2;Обработка в ЭВМ
110;80;0;4;2;Прием сигнала
110;80;2;0;2;Обработка в канале
110;80;2;1;2;Обработка в ЭВМ
120;80;2;1;2;Прием сигнала
120;120;2;0;3;Обработка в ЭВМ
130;120;2;0;3;Прием сигнала
130;120;0;4;3;Обработка в канале
130;120;0;4;3;Обработка в ЭВМ
140;120;0;4;3;Прием сигнала
140;120;2;0;3;Обработка в канале
140;120;2;1;3;Обработка в ЭВМ
150;120;0;4;3;Обработка в канале
150;120;0;5;3;Обработка в ЭВМ
160;120;0;5;3;Прием сигнала
160;120;2;1;3;Обработка в канале
160;160;2;0;4;Обработка в ЭВМ
170;160;2;1;4;Обработка в ЭВМ
180;160;2;1;4;Прием сигнала
180;160;0;5;4;Обработка в канале
180;160;0;5;4;Обработка в ЭВМ
190;160;0;5;4;Прием сигнала
190;160;0;5;4;Обработка в ЭВМ
200;160;0;5;4;Прием сигнала
200;160;2;1;4;Обработка в канале
200;200;2;0;5;Обработка в ЭВМ
210;200;2;0;5;Прием сигнала
210;200;2;1;5;Обработка в ЭВМ
220;200;2;1;5;Прием сигнала
220;200;0;5;5;Обработка в канале
220;200;0;5;5;Обработка в ЭВМ
230;200;0;5;5;Прием сигнала
230;200;2;1;5;Обработка в канале
230;200;2;2;5;Обработка в ЭВМ
240;200;2;2;5;Прием сигнала
240;240;2;1;6;Обработка в ЭВМ
250;240;0;5;6;Обработка в канале
250;240;0;5;6;Обработка в ЭВМ
260;240;0;5;6;Прием сигнала
260;240;0;5;6;Обработка в ЭВМ
270;240;0;5;6;Прием сигнала
270;240;2;1;6;Обработка в канале
270;240;2;2;6;Обработка в ЭВМ
280;280;2;1;7;Обработка в ЭВМ
290;280;2;1;7;Прием сигнала
290;280;0;5;7;Обработка в канале
290;280;0;5;7;Обработка в ЭВМ
300;280;0;5;7;Прием сигнала
300;280;2;1;7;Обработка в канале
300;280;2;2;7;Обработка в ЭВМ
310;280;2;2;7;Прием сигнала
310;280;0;5;7;Обработка в канале
310;310;0;4;8;Обработка в ЭВМ
320;310;0;4;8;Прием сигнала
320;310;2;2;8;Обработка в канале
320;310;2;3;8;Обработка в ЭВМ
330;310;2;4;8;Обработка в ЭВМ
340;310;2;4;8;Прием сигнала
340;310;1;2;8;Обработка в канале
340;310;1;3;8;Обработка в ЭВМ
350;310;1;3;8;Прием сигнала
350;310;0;4;8;Обработка в канале
350;350;0;3;9;Обработка в ЭВМ
360;350;0;3;9;Прием сигнала
360;350;0;3;9;Обработка в ЭВМ
370;350;0;3;9;Прием сигнала
370;350;0;3;9;Обработка в канале
370;350;0;4;9;Обработка в ЭВМ
380;350;1;3;9;Обработка в канале
380;350;1;4;9;Обработка в ЭВМ
390;350;1;4;9;Прием сигнала
390;350;0;4;9;Обработка в канале
390;390;0;3;10;Обработка в ЭВМ
400;390;0;4;10;Обработка в ЭВМ
410;390;0;4;10;Прием сигнала
410;390;0;4;10;Обработка в канале
410;390;0;5;10;Обработка в ЭВМ
420;390;0;5;10;Обработка в ЭВМ
430;390;0;5;10;Прием сигнала
430;390;2;4;10;Обработка в канале
430;430;2;3;11;Обработка в ЭВМ
440;430;2;3;11;Прием сигнала
440;430;2;4;11;Обработка в ЭВМ
450;430;2;4;11;Прием сигнала
450;430;0;5;11;Обработка в канале
450;430;0;5;11;Обработка в ЭВМ
460;430;0;5;11;Обработка в ЭВМ
470;430;0;5;11;Прием сигнала
470;430;2;4;11;Обработка в канале
470;470;2;3;12;Обработка в ЭВМ
480;470;2;3;12;Прием сигнала
480;470;0;5;12;Обработка в канале
480;470;0;5;12;Обработка в ЭВМ
490;470;0;5;12;Прием сигнала
490;470;0;5;12;Обработка в ЭВМ
500;470;0;5;12;Прием сигнала
500;470;2;3;12;Обработка в канале
500;470;2;4;12;Обработка в ЭВМ
510;510;2;3;13;Обработка в ЭВМ
520;510;2;3;13;Прием сигнала
520;510;0;5;13;Обработка в канале
520;510;0;5;13;Обработка в ЭВМ
530;510;2;3;13;Обработка в канале
530;510;2;3;13;Обработка в ЭВМ
540;510;2;3;13;Прием сигнала
540;510;2;3;13;Обработка в ЭВМ
550;510;0;5;13;Обработка в канале
550;550;0;4;14;Обработка в ЭВМ
560;550;0;4;14;Обработка в ЭВМ
570;550;0;4;14;Прием сигнала
570;550;2;3;14;Обработка в канале
570;550;2;3;14;Обработка в ЭВМ
580;550;2;3;14;Прием сигнала
580;550;0;4;14;Обработка в канале
580;550;0;4;14;Обработка в ЭВМ
590;550;2;3;14;Обработка в канале
590;590;2;2;15;Обработка в ЭВМ
600;590;2;2;15;Прием сигнала
600;590;0;4;15;Обработка в канале
600;590;0;4;15;Обработка в ЭВМ
610;590;0;4;15;Прием сигнала
610;590;2;2;15;Обработка в канале
610;590;2;3;15;Обработка в ЭВМ
620;590;2;3;15;Прием сигнала
620;590;0;4;15;Обработка в канале
620;590;0;4;15;Обработка в ЭВМ
630;630;0;3;16;Обработка в ЭВМ
640;630;0;3;16;Прием сигнала
640;630;0;3;16;Обработка в канале
640;630;0;4;16;Обработка в ЭВМ
650;630;0;4;16;Прием сигнала
650;630;0;4;16;Обработка в ЭВМ
660;630;0;4;16;Прием сигнала
660;630;2;3;16;Обработка в канале
660;630;2;3;16;Обработка в ЭВМ
670;630;0;4;16;Обработка в канале
670;670;0;3;17;Обработка в ЭВМ
680;670;0;3;17;Прием сигнала
680;670;0;3;17;Обработка в канале
680;670;0;4;17;Обработка в ЭВМ
690;670;2;3;17;Обработка в канале
690;670;2;4;17;Обработка в ЭВМ
700;670;2;4;17;Прием сигнала
700;670;0;4;17;Обработка в канале
700;670;0;4;17;Обработка в ЭВМ
710;710;0;3;18;Обработка в ЭВМ
720;710;0;3;18;Прием сигнала
720;710;0;3;18;Обработка в канале
720;710;0;4;18;Обработка в ЭВМ
730;710;0;4;18;Обработка в канале
730;710;0;4;18;Обработка в ЭВМ
740;710;0;4;18;Прием сигнала
740;710;0;4;18;Обработка в ЭВМ
750;710;0;4;18;Прием сигнала
750;710;0;4;18;Обработка в канале
750;750;0;3;19;Обработка в ЭВМ
760;750;0;4;19;Обработка в ЭВМ
770;750;0;4;19;Прием сигнала
