t0;prepTimeComp;MINcomp;Capacity;prepSignal;Message
0;0;0;1;0;Обработка в ЭВМ
10;0;0;1;0;Прием сигнала
10;0;0;2;0;Обработка в ЭВМ
20;0;0;2;0;Прием сигнала
20;0;2;0;0;Обработка в канале
20;0;2;1;0;Обработка в ЭВМ
30;0;2;1;0;Прием сигнала
30;0;2;2;0;Обработка в ЭВМ
40;0;1;0;0;Обработка в канале
40;40;1;0;1;Обработка в ЭВМ
50;40;0;2;1;Обработка в канале
50;40;0;3;1;Обработка в ЭВМ
60;40;0;3;1;Прием сигнала
60;40;2;2;1;Обработка в канале
60;40;2;3;1;Обработка в ЭВМ
70;40;2;3;1;Прием сигнала
70;40;2;4;1;Обработка в ЭВМ
80;40;2;4;1;Прием сигнала
80;40;1;0;1;Обработка в канале
80;80;1;0;2;Обработка в ЭВМ
90;80;1;1;2;Обработка в ЭВМ
100;80;1;1;2;Прием сигнала
100;80;0;3;2;Обработка в канале
100;80;0;4;2;Обработка в ЭВМ
110;80;1;1;2;Обработка в канале
110;80;1;2;2;Обработка в ЭВМ
120;80;1;2;2;Прием сигнала
120;120;1;1;3;Обработка в ЭВМ
130;120;0;4;3;Обработка в канале
130;120;0;4;3;Обработка в ЭВМ
140;120;0;4;3;Обработка в ЭВМ
150;120;0;4;3;Прием сигнала
150;120;1;1;3;Обработка в канале
150;120;1;2;3;Обработка в ЭВМ
160;120;1;2;3;Прием сигнала
160;120;0;4;3;Обработка в канале
160;160;0;3;4;Обработка в ЭВМ
170;160;0;4;4;Обработка в ЭВМ
180;160;0;4;4;Прием сигнала
180;160;1;2;4;Обработка в канале
180;160;1;3;4;Обработка в ЭВМ
190;160;1;3;4;Прием сигнала
190;160;0;4;4;Обработка в канале
190;190;0;3;5;Обработка в ЭВМ
200;190;0;3;5;Прием сигнала
200;190;0;4;5;Обработка в ЭВМ
210;190;0;4;5;Прием сигнала
210;190;1;3;5;Обработка в канале
210;190;1;4;5;Обработка в ЭВМ
