X1 (lambda);X2 (m1);X3 (m2);X4 (E);Y (lost signal);t1;t2;t3
2;1;2;2;18;0,09348859135487675;11,384750708732835;28,797243693809932
2;2;2;2;18;0,44147423564605803;8,47079665672496;36,235666562119455
2;2;4;1;25;0,9365286461454804;9,852784612110995;33,75384057094736
1;1;3;2;17;1,1672813979655168;9,979612602458579;32,20661284988525
1;1;2;1;21;0,6346975883793152;10,967365959332255;31,131078410112924
2;2;2;2;18;1,287779473423927;11,73317498657494;33,02917079104095
2;2;4;1;26;2,3306890500503794;12,312000879259568;32,59023134863409
2;2;2;1;22;0,14975998247769284;7,2659816828626225;36,48844567090469
1;2;2;1;23;0,5125785052142042;9,417016709070298;31,136623035837868
2;2;2;2;19;0,20515987207243475;14,081169279296423;36,124232652190955
1;2;4;2;15;1,256311362273752;8,549874706691007;28,719196408331204
2;2;3;1;20;0,39569919951862625;7,171028348122595;35,21433173980805
2;2;4;1;22;0,2952465101549871;11,176791440640967;36,16006902644637
2;2;2;1;25;1,0430269780897357;12,218148451509627;35,338438481556686
2;2;4;2;18;0,42957987397785713;12,123764626029985;27,704312750854342
2;1;2;1;21;1,0431098581958649;9,341697755790769;28,086095964097062
1;2;3;2;17;0,8709377272547121;12,498859249080061;31,563014285345822
1;2;3;1;24;2,175456346353209;11,238045095742029;35,55000623964528
1;2;3;1;21;0,1406948083945706;10,295850397722493;33,658275804172085
1;2;4;1;22;8,649407333128595;9,104712003806332;33,432150217756764
1;2;2;2;18;2,124473144302275;9,775842872345706;33,01278591722154
2;1;2;1;22;0,5470959073633704;9,276952858825645;36,444002765242516
2;1;4;1;24;0,3994852241316953;9,862439838506262;34,77661882409217
1;2;4;1;24;0,7660208072620983;10,954933483971345;29,526853796057488
1;1;2;1;23;0,06862956778440969;10,95597146025798;34,17920260435164
2;1;3;2;19;0,06238268987837749;11,317758363932585;29,810108458627177
1;2;3;2;19;2,4696210541571344;10,500545349435765;29,121427230707987
2;1;4;2;16;0,7150026532819904;10,723485680726803;29,929307167762097
2;1;4;2;19;0,030001032721428355;9,797799275641738;29,50095840054179
2;2;3;1;23;0,8445447105069243;8,774724436557594;35,54228860562516
