t0;prepTimeComp;MINcomp;Capacity;prepSignal;Message
0;0;1;1;0;Обработка в ЭВМ
10;0;1;1;0;Прием сигнала
10;0;1;2;0;Обработка в ЭВМ
20;0;1;2;0;Прием сигнала
20;0;2;0;0;Обработка в канале
20;0;2;1;0;Обработка в ЭВМ
30;0;0;0;0;Обработка в канале
30;0;0;1;0;Обработка в ЭВМ
40;0;0;1;0;Прием сигнала
40;40;0;0;1;Обработка в ЭВМ
50;40;0;0;1;Обработка в канале
50;40;0;1;1;Обработка в ЭВМ
60;40;0;1;1;Обработка в канале
60;40;0;2;1;Обработка в ЭВМ
70;40;0;2;1;Прием сигнала
70;40;2;1;1;Обработка в канале
70;40;2;2;1;Обработка в ЭВМ
80;80;2;1;2;Обработка в ЭВМ
90;80;0;2;2;Обработка в канале
90;80;0;3;2;Обработка в ЭВМ
100;80;0;3;2;Прием сигнала
100;80;2;1;2;Обработка в канале
100;80;2;2;2;Обработка в ЭВМ
110;80;2;2;2;Прием сигнала
110;80;0;3;2;Обработка в канале
110;80;0;4;2;Обработка в ЭВМ
120;120;0;3;3;Обработка в ЭВМ
130;120;0;3;3;Прием сигнала
130;120;2;2;3;Обработка в канале
130;120;2;3;3;Обработка в ЭВМ
140;120;2;3;3;Прием сигнала
140;120;2;4;3;Обработка в ЭВМ
150;120;2;4;3;Прием сигнала
150;120;1;2;3;Обработка в канале
150;120;1;3;3;Обработка в ЭВМ
160;120;1;3;3;Прием сигнала
160;120;0;3;3;Обработка в канале
160;160;0;2;4;Обработка в ЭВМ
170;160;0;2;4;Обработка в канале
170;160;0;3;4;Обработка в ЭВМ
180;160;0;3;4;Прием сигнала
180;160;0;3;4;Обработка в канале
180;160;0;4;4;Обработка в ЭВМ
190;160;1;3;4;Обработка в канале
190;160;1;4;4;Обработка в ЭВМ
200;160;1;4;4;Прием сигнала
200;160;0;4;4;Обработка в канале
200;200;0;3;5;Обработка в ЭВМ
210;200;0;3;5;Прием сигнала
210;200;0;3;5;Обработка в канале
210;200;0;4;5;Обработка в ЭВМ
220;200;0;4;5;Прием сигнала
220;200;0;4;5;Обработка в канале
220;200;0;4;5;Обработка в ЭВМ
230;200;0;4;5;Обработка в канале
230;230;0;3;6;Обработка в ЭВМ
240;230;0;3;6;Прием сигнала
240;230;0;4;6;Обработка в ЭВМ
250;230;0;4;6;Обработка в канале
250;230;0;4;6;Обработка в ЭВМ
260;230;0;4;6;Прием сигнала
260;260;0;3;7;Обработка в ЭВМ
270;260;0;3;7;Прием сигнала
270;260;0;3;7;Обработка в канале
270;260;0;4;7;Обработка в ЭВМ
280;260;0;4;7;Прием сигнала
280;260;0;4;7;Обработка в ЭВМ
290;260;0;4;7;Прием сигнала
290;260;0;4;7;Обработка в канале
290;260;0;4;7;Обработка в ЭВМ
300;260;0;4;7;Прием сигнала
300;300;0;3;8;Обработка в ЭВМ
310;300;0;3;8;Обработка в канале
310;300;0;4;8;Обработка в ЭВМ
320;300;0;4;8;Прием сигнала
320;300;0;4;8;Обработка в канале
320;300;0;4;8;Обработка в ЭВМ
330;300;0;4;8;Прием сигнала
330;300;0;4;8;Обработка в ЭВМ
340;300;0;4;8;Обработка в канале
340;340;0;3;9;Обработка в ЭВМ
350;340;0;3;9;Прием сигнала
350;340;0;3;9;Обработка в канале
350;340;0;4;9;Обработка в ЭВМ
360;340;0;4;9;Прием сигнала
360;340;0;4;9;Обработка в ЭВМ
370;340;0;4;9;Обработка в канале
370;340;0;4;9;Обработка в ЭВМ
380;340;0;4;9;Прием сигнала
380;380;0;3;10;Обработка в ЭВМ
